gene	tot_nsample
39340	4
A1BG	42
A1CF	71
A1CF_ENST00000282641	4
A1CF_ENST00000373995	62
A2LD1	2
A2M	182
A2ML1	192
A2RRG4_HUMAN	26
A3GALT2P	3
A4D226_HUMAN	6
A4GALT	34
A4GNT	42
AAAS	42
AACS	49
AADAC	46
AADACL2	49
AADACL2_ENST00000356517	42
AADACL3	38
AADACL3_ENST00000359318	46
AADACL4	40
AADAT	27
AAGAB	22
AAK1	59
AAK1_ENST00000409085	64
AAMP	28
AANAT	7
AARS	62
AARS2	70
AARSD1	37
AASDH	94
AASDHPPT	39
AASS	121
AATF	32
AATK	63
AATK_ENST00000326724	49
AB019437_1	4
ABAT	42
ABCA1	227
ABCA1_ENST00000423487	6
ABCA10	180
ABCA12	343
ABCA13	586
ABCA13_ENST00000435803	569
ABCA2	106
ABCA3	164
ABCA4	248
ABCA5	150
ABCA6	184
ABCA6_ENST00000590645	3
ABCA7	171
ABCA8	191
ABCA9	177
ABCB1	242
ABCB10	67
ABCB11	131
ABCB4	172
ABCB5	152
ABCB5_ENST00000404938	143
ABCB5_ENST00000443026	20
ABCB6	71
ABCB7	62
ABCB8	66
ABCB9	50
ABCC1	146
ABCC10	111
ABCC11	165
ABCC12	176
ABCC2	151
ABCC3	93
ABCC3_ENST00000427699	22
ABCC4	105
ABCC4_ENST00000376887	101
ABCC5	133
ABCC5_ENST00000382494	11
ABCC6	88
ABCC8	153
ABCC9	215
ABCC9_ENST00000261201	158
ABCD1	56
ABCD2	117
ABCD3	46
ABCD3_ENST00000315713	14
ABCD4	43
ABCD4_ENST00000537629	3
ABCE1	45
ABCF1	60
ABCF2	52
ABCF3	69
ABCG1	67
ABCG1_ENST00000398437	3
ABCG1_ENST00000398457	63
ABCG2	83
ABCG2_ENST00000237612	55
ABCG4	78
ABCG5	64
ABCG8	91
ABHD1	17
ABHD10	22
ABHD11	11
ABHD12	24
ABHD12_ENST00000339157	15
ABHD12B	24
ABHD12B_ENST00000337334	24
ABHD13	40
ABHD14A	11
ABHD14B	6
ABHD15	17
ABHD16A	29
ABHD16B	21
ABHD2	55
ABHD3	26
ABHD4	31
ABHD5	36
ABHD6	25
ABHD8	26
ABI1	34
ABI2	37
ABI2_ENST00000295851	5
ABI3	30
ABI3BP	131
ABI3BP_ENST00000383691	62
ABI3BP_ENST00000471714	113
ABL1	330
ABL1_ENST00000318560	26
ABL1_ENST00000372348	72
ABL2	132
ABL2_ENST00000502732	86
ABL2_ENST00000512653	90
ABLIM1	49
ABLIM1_ENST00000336585	40
ABLIM1_ENST00000392952	21
ABLIM2	54
ABLIM3	84
ABO	27
ABP1	85
ABR	81
ABR_ENST00000291107	25
ABRA	54
ABT1	44
ABTB1	37
ABTB2	60
ABTB2_ENST00000435224	34
AC002472	5
AC003101	6
AC005392	4
AC005609	4
AC005754	42
AC005838	16
AC007731_16	2
AC008537_5	6
AC008969	2
AC009365	6
AC010872_2	10
AC010997	3
AC011537	33
AC011551	12
AC012100	26
AC013469_8	52
AC015804	6
AC022098	1
AC022601	70
AC026458	29
AC027369_8	14
AC068473	4
AC073082	10
AC073343	37
AC079612	10
AC087645	4
AC091132	2
AC092031	2
AC092070_2	6
AC093393	20
AC093726	1
AC097374_3	27
AC097381	1
AC099524	38
AC103710_2	8
AC112491_4	1
AC114273	4
AC114772	4
AC120042	2
AC125494	30
AC127391_4	10
AC129492	10
AC133485	22
AC136604	12
AC142381	1
AC142381_2	12
AC142381_2_ENST00000356559	12
AC145291	1
ACAA1	24
ACAA2	26
ACACA	186
ACACA_ENST00000353139	173
ACACB	237
ACACB_ENST00000543201	70
ACAD10	87
ACAD11	68
ACAD8	33
ACAD9	44
ACADL	41
ACADM	47
ACADS	39
ACADSB	46
ACADVL	42
ACAN	223
ACAP1	62
ACAP2	69
ACAP3	46
ACAP3_ENST00000354700	41
ACAT1	37
ACAT2	30
ACBD3	38
ACBD4	26
ACBD4_ENST00000431281	24
ACBD5	35
ACBD5_ENST00000396271	33
ACBD6	18
ACBD7	14
ACCN1	58
ACCN1_ENST00000359872	79
ACCN2	54
ACCN3	53
ACCN3_ENST00000357922	55
ACCN4	78
ACCN5	61
ACCS	57
ACCSL	56
ACD	33
ACE	116
ACE_ENST00000290863	41
ACE_ENST00000490216	7
ACE2	79
ACER1	35
ACER2	19
ACER2_ENST00000380376	3
ACER3	17
ACHE	42
ACHE_ENST00000412389	32
ACIN1	104
ACIN1_ENST00000338631	38
ACLY	80
ACMSD	33
ACN9	17
ACO1	72
ACO1_ENST00000379923	64
ACO2	58
ACOT1	12
ACOT11	52
ACOT11_ENST00000371316	49
ACOT12	54
ACOT13	11
ACOT2	21
ACOT4	22
ACOT6	12
ACOT7	29
ACOT7_ENST00000377842	19
ACOT7_ENST00000377845	20
ACOT8	25
ACOT9	31
ACOT9_ENST00000379303	2
ACOX1	37
ACOX1_ENST00000301608	37
ACOX2	49
ACOX3	73
ACOXL	51
ACOXL_ENST00000439055	41
ACP1	23
ACP1_ENST00000272067	19
ACP2	35
ACP5	30
ACP6	35
ACPL2	46
ACPP	58
ACPP_ENST00000351273	52
ACPT	40
ACR	25
ACRBP	42
ACRC	110
ACRV1	23
ACSBG1	77
ACSBG2	78
ACSF2	44
ACSF3	40
ACSL1	74
ACSL3	55
ACSL3_ENST00000357430	48
ACSL4	67
ACSL5	39
ACSL6	84
ACSL6_ENST00000379264	79
ACSM1	81
ACSM1_ENST00000219151	20
ACSM2A	113
ACSM2B	106
ACSM3	57
ACSM3_ENST00000440284	36
ACSM4	49
