name	pfam_id	chrom	chromStart	chromEnd	all_cosmic	pval
MFS_1	PF07690	chr1	8384669	8390667	33	1.43145332025962e-07
DUF1681	PF07933	chr1	16767266	16778420	5	0.00348887616987592
DUF1681	PF07933	chr1	16770128	16778420	5	0.00348887616987592
Orn_Arg_deC_N	PF02784	chr1	33549582	33562404	6	0.0913798565675432
Orn_Arg_deC_N	PF02784	chr1	33549723	33562404	6	0.0913798565675432
2-oxoacid_dh	PF00198	chr1	100661821	100681568	10	0.00127894245878223
DHH	PF01368	chr1	150981139	150998002	4	1.9763725085362
zf-C3HC4	PF00097	chr1	176145090	176175708	10	1.82240333218664e-05
Pkinase	PF00069	chr1	2082295	2106732	283	2.27964843259768e-06
Pkinase_Tyr	PF07714	chr1	2082295	2105404	1522	3.41277051625166
ICMT	PF04140	chr1	6285222	6292152	3	4.08282580523572
CG-1	PF03859	chr1	6885232	7700499	10	9.08109309781151
Pkinase	PF00069	chr1	20971002	20976975	283	2.27964843259768e-06
Ephrin_lbd	PF01404	chr1	23037533	23111350	28	0.00127894245878223
Stathmin	PF00836	chr1	26212359	26231157	10	0.0325964095227795
Hydrolase	PF00702	chr1	28301023	28337459	33	9.75580331032108e-05
Hydrolase	PF00702	chr1	28303899	28337459	33	9.75580331032108e-05
Spectrin	PF00435	chr1	39844976	39847684	256	0.000393708410902564
I-set	PF07679	chr1	44035284	44044558	956	0.0565734645986981
I-set	PF07679	chr1	44035284	44044558	956	0.0565734645986981
ig	PF00047	chr1	44035326	44044540	9	1.82240333218664e-05
ig	PF00047	chr1	44035326	44044540	9	1.82240333218664e-05
Peptidase_M14	PF00246	chr1	49005401	49511329	29	1.82240333218664e-05
Peptidase_M14	PF00246	chr1	49052666	49511329	29	1.82240333218664e-05
Ras	PF00071	chr1	52385702	52442719	30319	300
Miro	PF08477	chr1	52399046	52442719	10	9.75580331032108e-05
Thiolase_C	PF02803	chr1	53446092	53480564	11	0.0172418496560161
CTF_NFI	PF00859	chr1	61798198	61920990	20	0.00127894245878223
CTF_NFI	PF00859	chr1	61798198	61872399	20	0.00127894245878223
UCH	PF00443	chr1	62907220	62916107	51	2.27964843259768e-06
Glyco_transf_29	PF00777	chr1	76540564	77094309	32	9.75580331032108e-05
VWA	PF00092	chr1	87031668	87038356	119	0.000393708410902564
Laminin_EGF	PF00053	chr1	107979289	108023244	74	0.00127894245878223
G-alpha	PF00503	chr1	110091358	110134850	55	0.00823877791258101
Ras	PF00071	chr1	113244202	113246402	30319	300
Miro	PF08477	chr1	113245231	113246402	10	9.75580331032108e-05
DUF1220	PF06758	chr1	144218579	144828713	31	9.75580331032108e-05
DUF1220	PF06758	chr1	144221692	144827105	31	9.75580331032108e-05
DUF1220	PF06758	chr1	144223346	144828713	31	9.75580331032108e-05
DUF1220	PF06758	chr1	144223352	144824710	31	9.75580331032108e-05
Microtub_assoc	PF07989	chr1	144677348	144994688	5	0.0325964095227795
Microtub_assoc	PF07989	chr1	144677348	144994634	5	0.0325964095227795
DUF1220	PF06758	chr1	145364652	146420916	31	9.75580331032108e-05
PDZ	PF00595	chr1	145748530	145753994	46	2.27964843259768e-06
PDZ	PF00595	chr1	145748530	145756584	46	2.27964843259768e-06
Tropomyosin	PF00261	chr1	154130116	154155561	14	9.75580331032108e-05
Tropomyosin	PF00261	chr1	154130116	154155561	14	9.75580331032108e-05
Tropomyosin	PF00261	chr1	154130116	154155467	14	9.75580331032108e-05
Tropomyosin	PF00261	chr1	154130116	154145672	14	9.75580331032108e-05
Tropomyosin	PF00261	chr1	154130116	154145672	14	9.75580331032108e-05
Tropomyosin	PF00261	chr1	154130116	154144581	14	9.75580331032108e-05
Tropomyosin	PF00261	chr1	154130116	154142944	14	9.75580331032108e-05
Tropomyosin	PF00261	chr1	154130195	154155561	14	9.75580331032108e-05
Tropomyosin	PF00261	chr1	154131452	154155561	14	9.75580331032108e-05
Tropomyosin	PF00261	chr1	154131452	154155561	14	9.75580331032108e-05
Tropomyosin	PF00261	chr1	154140414	154163759	14	9.75580331032108e-05
PBC	PF03792	chr1	164529156	164769122	8	9.75580331032108e-05
Dynamin_N	PF00350	chr1	171810896	172001574	12	1.82240333218664e-05
Fibrinogen_C	PF00147	chr1	175097748	175116139	28	9.75580331032108e-05
PH	PF00169	chr1	178063799	178410774	284	0.00823877791258101
Ank	PF00023	chr1	180283850	180382502	55	0.00348887616987592
Ank	PF00023	chr1	202318247	202385990	55	0.00348887616987592
