chr	start	end
1	68270	70270
1	366900	369096
1	620597	622793
1	870159	872159
1	873447	875816
1	876608	882019
1	882918	884918
1	886805	890219
1	890591	895591
1	895893	902923
1	905269	910874
1	933491	935990
1	948366	950366
1	975563	988189
1	989322	991322
1	1017357	1019357
1	1113685	1117227
1	1119456	1121456
1	1132061	1134073
1	1137967	1140865
1	1148104	1150134
1	1158339	1160339
1	1166796	1169364
1	1177935	1180416
1	1180906	1183059
1	1189670	1191778
1	1220488	1224366
1	1225520	1227520
1	1228538	1236225
1	1237583	1239589
1	1245390	1251236
1	1254870	1256870
1	1258958	1260984
1	1261635	1264085
1	1265740	1274959
1	1276059	1278112
1	1288446	1291843
1	1308405	1311102
1	1321654	1324393
1	1324630	1326631
1	1333052	1335054
1	1336539	1338539
1	1340253	1342253
1	1373567	1376035
1	1385089	1387089
1	1390246	1393552
1	1395244	1399008
1	1402814	1404887
1	1411659	1413697
1	1416577	1418577
1	1420506	1424286
1	1424678	1426753
1	1429947	1432174
1	1450415	1452415
1	1454608	1456963
1	1457165	1460693
1	1463604	1465604
1	1468384	1471807
1	1478317	1480317
1	1559478	1565064
1	1598899	1600899
1	1633926	1637422
1	1637925	1639953
1	1646901	1648901
1	1662960	1664960
1	1665260	1667260
1	1669415	1671415
1	1683344	1688997
1	1695788	1697788
1	1848727	1851635
1	1955493	1958177
1	1958645	1961692
1	1985904	1987980
1	2081264	2083264
1	2104343	2107681
1	2159409	2162003
1	2233432	2236378
1	2236665	2238665
1	2251855	2253970
1	2289111	2291111
1	2317918	2319918
1	2321955	2323955
1	2336218	2341173
1	2443341	2448106
1	2450345	2453658
1	2457010	2459010
1	2459944	2461944
1	2488846	2490846
1	2522015	2524412
1	2525259	2527259
1	2534397	2536397
1	2537417	2539417
1	2540189	2542189
1	2937345	2940218
1	2984855	2986855
1	3101751	3103903
1	3320299	3323157
1	3326973	3330260
1	3341307	3343611
1	3346452	3348595
1	3379112	3381112
1	3388652	3392324
1	3393533	3396143
1	3409641	3411980
1	3412268	3414268
1	3415227	3417227
1	3417428	3419428
1	3421087	3423087
1	3427136	3429696
1	3430156	3432156
1	3518110	3520110
1	3526764	3528767
1	3544150	3546150
1	3547122	3551042
1	3562319	3564319
1	3597989	3599989
1	3637654	3640988
1	3642687	3645212
1	3645684	3649060
1	3669712	3673130
1	3678190	3681383
1	3682159	3684980
1	3696816	3701659
1	3702589	3704844
1	3711513	3713513
1	3742278	3744278
1	3745432	3747432
1	3749432	3754113
1	3764186	3766335
1	3788053	3790118
1	3799147	3801147
1	3806136	3808438
1	4771047	4773584
1	4828930	4830930
1	4831520	4833521
1	5922425	5928130
1	5932356	5936110
1	5946413	5948413
1	5963854	5965854
1	5966227	5968245
1	5986710	5988710
1	5992367	5994381
1	6006259	6008259
1	6011801	6013801
1	6037345	6039345
1	6099649	6101649
1	6144288	6146312
1	6154663	6156663
1	6157569	6159569
1	6165758	6167758
1	6168970	6173266
1	6180285	6182285
1	6183619	6185619
1	6193269	6195269
1	6203091	6205091
1	6205849	6207849
1	6207966	6210079
1	6211508	6213508
1	6213820	6216713
1	6218461	6220463
1	6227258	6229258
1	6252012	6254013
1	6267994	6270234
1	6271019	6274203
1	6278431	6280461
1	6284155	6286283
1	6292674	6296861
1	6304228	6306321
1	6308568	6311589
1	6312947	6315785
1	6340242	6342242
1	6392561	6394561
1	6398582	6400582
1	6419662	6421662
1	6452388	6454388
1	6478766	6480766
1	6484265	6486265
1	6487296	6489445
1	6499350	6501350
1	6503630	6506917
1	6507872	6510103
1	6510754	6512939
1	6516280	6518280
1	6519166	6525483
1	6527262	6530209
1	6533154	6536201
1	6592489	6594489
1	6604141	6606141
1	6608681	6611628
1	6613360	6615360
1	6633729	6636044
1	6637779	6642060
1	6645057	6650092
1	6658241	6660252
1	6660971	6663863
1	6679321	6681321
1	6687574	6689624
1	6693119	6695119
1	6695232	6699396
1	6703718	6706987
1	6879272	6881272
1	7150399	7152399
1	7720883	7725737
1	7796011	7798376
1	7804986	7808774
1	7810300	7813540
1	7836253	7838253
1	7844575	7847832
1	7857659	7859659
1	7868001	7870960
1	7878401	7881654
1	7886262	7888573
1	7888927	7891153
1	7896120	7898120
1	7901818	7903818
1	7909964	7911964
1	7979985	7981985
1	7992225	7996100
1	7997869	7999871
1	8021894	8023894
1	8044014	8046016
1	8072552	8076436
1	8383398	8387016
1	8389374	8391703
1	8398673	8400673
1	8402944	8404944
1	8414548	8416548
1	8417599	8421889
1	8424921	8426921
1	8481797	8483797
1	8525057	8527071
1	8615562	8617592
1	8715096	8717326
1	8920419	8925096
1	9062479	9065918
1	9066433	9068433
1	9069243	9071243
1	9073890	9075890
1	9081981	9086047
1	9098724	9102814
1	9106759	9108759
1	9164631	9166631
1	9170336	9172336
1	9304016	9308076
1	9321155	9325824
1	9415003	9417073
1	9426508	9428610
1	9626387	9628387
1	9629360	9631360
1	9655019	9657019
1	9660175	9662360
1	9669583	9674094
1	9776085	9783386
1	9783870	9785870
1	9789659	9791659
1	9794231	9796231
1	9802994	9805628
1	9808689	9812665
1	9832335	9834335
1	9931090	9933090
1	9991024	9993024
1	10031249	10033249
1	10041501	10043687
1	10066735	10069312
1	10162009	10164009
1	10165309	10167585
1	10178650	10180650
1	10189802	10193468
1	10194185	10196185
1	10204063	10206063
1	10227220	10229328
1	10230330	10232363
1	10335434	10339124
1	10341485	10343521
1	10362223	10365612
1	10383883	10385883
1	10398860	10400860
1	10402302	10404302
1	10424479	10426479
1	10459571	10461571
1	10462125	10464125
1	10476140	10478140
1	10492990	10494990
1	10501318	10503437
1	10510574	10512574
1	10520549	10524665
1	10528326	10530326
1	10677421	10679421
1	10682088	10684088
1	10698066	10700401
1	10704025	10707305
1	10708387	10710387
1	10712537	10716816
1	10718818	10721597
1	10724469	10726615
1	11086272	11088515
1	11089840	11091840
1	11093904	11095904
1	11105673	11108158
1	11115132	11117132
1	11136678	11138678
1	11139954	11141954
1	11146631	11148637
1	11157209	11160851
1	11167236	11170752
1	11171913	11173913
1	11187058	11190856
1	11192226	11194226
1	11198365	11200365
1	11226568	11228568
1	11251357	11255965
1	11258343	11260343
1	11263749	11265749
1	11268430	11270437
1	11271891	11273891
1	11287950	11289950
1	11290410	11292410
1	11292472	11294472
1	11297053	11299631
1	11300623	11302738
1	11306731	11308731
1	11316071	11318071
1	11333101	11335101
1	11344821	11346821
1	11560434	11563838
1	11575065	11577126
1	11578447	11581795
1	11584314	11586314
1	11590623	11592761
1	11594666	11596683
1	11707814	11711798
1	11714929	11717067
1	11717375	11719859
1	11727848	11729920
1	11732831	11734905
1	11739418	11741418
1	11765490	11767675
1	11768457	11770471
1	11774178	11776199
1	11805202	11809602
1	11849891	11851891
1	11853086	11857455
1	11860299	11862345
1	11875715	11877715
1	11878551	11880551
1	11886178	11889243
1	11892969	11894969
1	11906328	11908328
1	11982352	11984352
1	11984946	11986946
1	11993863	11995863
1	12008845	12010880
1	12011722	12013768
1	12013928	12015928
1	12016980	12019649
1	12023229	12028060
1	12032025	12035830
1	12055334	12057334
1	12060590	12063150
1	12063598	12067705
1	12088118	12092843
1	12143552	12145552
1	12169177	12171185
1	12182855	12184855
1	12197305	12199362
1	12265983	12267983
1	12303645	12305645
1	12317057	12319057
1	12320134	12322134
1	12326059	12329878
1	12335504	12338709
1	12342031	12344394
1	12358387	12360387
1	12363649	12365656
1	12373334	12375334
1	12381766	12383766
1	12386776	12388776
1	12392329	12394329
1	12400857	12402857
1	12415463	12417463
1	12417640	12419640
1	12422276	12424276
1	12427619	12430707
1	12437588	12439588
1	12519386	12521390
1	12637973	12641562
1	12676188	12678188
1	12725036	12727681
1	12778531	12780531
1	12784247	12786911
1	12834024	12838705
1	12852482	12857141
1	12906282	12909005
1	12917905	12922630
1	12938504	12944215
1	12951765	12956531
1	12997567	13000023
1	13000034	13002325
1	13035655	13037655
1	13367215	13369723
1	13423107	13425107
1	13426720	13428720
1	13447176	13451112
1	13474043	13476043
1	13495008	13498592
1	13643904	13645904
1	13647517	13649517
1	13668261	13671967
1	13715842	13719514
1	13909406	13911560
1	13932738	13934738
1	13935993	13937996
1	14056542	14058542
1	14067614	14069614
1	14098574	14100574
1	14104064	14110237
1	14924703	14926703
1	15391188	15393188
1	15428880	15431665
1	15545150	15547234
1	15735592	15737592
1	15751496	15753496
1	15754096	15756176
1	15765842	15767842
1	15788246	15790304
1	15802004	15804016
1	15808762	15810762
1	15811453	15814844
1	15831494	15833494
1	15843652	15845834
1	15854639	15856639
1	15869902	15871902
1	15873829	15875842
1	15889459	15891459
1	15891660	15894694
1	15903246	15905246
1	15908822	15912452
1	15956025	15958025
1	15985990	15989068
1	16052732	16054732
1	16056691	16061420
1	16063618	16066188
1	16068549	16071699
1	16072454	16075083
1	16090591	16092591
1	16094031	16098048
1	16102731	16104731
1	16173617	16175617
1	16202072	16204072
1	16244456	16246979
1	16253932	16265464
1	16267507	16269618
1	16270590	16274489
1	16331543	16333730
1	16341163	16343163
1	16348188	16351424
1	16353581	16359980
1	16371131	16374031
1	16375312	16377312
1	16377795	16383201
1	16384124	16387043
1	16387602	16391124
1	16450737	16452737
1	16457289	16463184
1	16463784	16465784
1	16474173	16476288
1	16524657	16526657
1	16527360	16529360
1	16534359	16536487
1	16558044	16561248
1	16724864	16728358
1	16729309	16731467
1	16735138	16737538
1	16774651	16776651
1	16777427	16779427
1	16781326	16783326
1	16784378	16786378
1	17248219	17250219
1	17255636	17258840
1	17262214	17267482
1	17269750	17273769
1	17274337	17276392
1	17279735	17281735
1	17291298	17293505
1	17293875	17299076
1	17302613	17304651
1	17311787	17313787
1	17313906	17315906
1	17317259	17319259
1	17321984	17323984
1	17325989	17329531
1	17330905	17333025
1	17349502	17351504
1	17354218	17356218
1	17395609	17397609
1	17404812	17406812
1	17412072	17414171
1	17419121	17421132
1	17551573	17553573
1	17554231	17558156
1	17569537	17571730
1	17585185	17587194
1	17587689	17589689
1	17591171	17593171
1	17593414	17595456
1	17595817	17598423
1	17598864	17604078
1	17656635	17658635
1	17663563	17667222
1	17671566	17673566
1	17680108	17682143
1	17684784	17686784
1	17689083	17691083
1	17734631	17736631
1	17737648	17739648
1	17742081	17744116
1	17747776	17749776
1	17763795	17765987
1	17927624	17931075
1	17933347	17935347
1	17944943	17946943
1	17948489	17950593
1	17952880	17954880
1	17964136	17966136
1	17982106	17984106
1	18013082	18015082
1	18020730	18024675
1	18148710	18150793
1	18151345	18153977
1	18617361	18619361
1	18690718	18693126
1	18806482	18810781
1	18960618	18962618
