gene_name	count	amino_acid_length	length
A1BG	77	495	8321
A1CF	7	594	86266
A2M	203	1474	48565
A2ML1	69	1454	64529
A4GALT	8	353	29177
A4GNT	8	340	8669
AAAS	4	546	17408
AACS	9	672	77948
AADAC	5	399	14451
AADACL2	10	401	27423
AADACL3	6	350	12608
AADACL4	6	407	22531
AADAT	1	429	31477
AAED1	3	226	15726
AAGAB	4	315	54162
AAK1	204	961	212949
AAMP	50	435	6130
AAR2	7	398	34459
AARD	1	155	6288
AARS	25	968	37248
AARS2	14	985	13672
AARSD1	9	412	13972
AASDH	8	1098	49210
AASDHPPT	3	309	23209
AASS	38	926	68633
AATF	5	560	107996
AATK	29	1374	48782
ABAT	9	515	110010
ABCA1	260	2261	147235
ABCA10	169	1543	97632
ABCA12	48	2595	206885
ABCA13	91	5058	476037
ABCA2	39	2436	21681
ABCA3	22	1704	64865
ABCA4	43	2273	128295
ABCA5	17	1643	82933
ABCA6	27	1617	63186
ABCA7	24	2146	25469
ABCA8	36	1621	88100
ABCA9	21	1624	86576
ABCB1	17	1280	209436
ABCB10	7	738	42113
ABCB11	87	1321	108384
ABCB4	11	1286	78738
ABCB5	6	1257	161828
ABCB6	27	842	9222
ABCB7	4	753	103452
ABCB8	12	735	19359
ABCB9	6	769	60698
ABCC1	20	1541	193497
ABCC10	14	1492	23064
ABCC11	23	1382	80658
ABCC12	13	1359	73045
ABCC2	23	1545	69460
ABCC3	23	1527	57475
ABCC4	12	1325	281604
ABCC5	36	1437	98081
ABCC6	6	1503	74594
ABCC8	20	1582	84017
ABCC9	18	1549	144001
ABCD1	80	745	19893
ABCD2	3	740	69718
ABCD3	4	683	100289
ABCD4	10	606	17633
ABCE1	8	599	31247
ABCF1	84	845	25803
ABCF2	6	634	19393
ABCF3	3	709	7989
ABCG1	8	824	97555
ABCG2	10	655	141058
ABCG4	2	646	13638
ABCG5	22	651	26393
ABCG8	36	673	39502
ABHD1	9	405	6998
ABHD10	8	306	14353
ABHD11	8	315	2773
ABHD12	4	404	96240
ABHD12B	3	362	32810
ABHD13	4	337	15876
ABHD14A	2	271	9770
ABHD14A-ACY1	7	509	14133
ABHD14B	8	210	14899
ABHD15	91	468	6590
ABHD16A	2	558	16466
ABHD16B	6	469	1775
ABHD2	6	425	114901
ABHD3	8	409	53908
ABHD4	8	342	14119
ABHD5	12	349	44258
ABHD6	2	337	58187
ABHD8	2	439	18105
ABI1	4	509	114494
ABI2	3	513	119504
ABI3	9	366	12998
ABI3BP	91	1777	244359
ABL2	33	1182	130357
ABLIM1	13	778	253890
ABLIM2	9	645	193520
ABLIM3	7	683	119059
ABP1	15	770	0
ABR	5	859	225557
ABRA	1	381	10762
ABT1	1	272	3098
ABTB1	3	478	7990
ABTB2	14	1025	207020
AC003002.6	3	178	30110
AC004076.9	18	132	39566
AC004381.6	12	774	43236
AC004466.1	1	140	1081
AC006486.9	8	166	20549
AC010327.2	1	271	3060
AC010336.1	9	243	4738
AC010441.1	2	135	18430
AC010646.3	1	45	19508
AC011530.4	1	131	6536
AC018470.1	2	516	1550
AC019171.1	13	239	719
AC022400.2	2	147	443
AC026202.1	11	251	755
AC037459.4	8	324	12810
AC040977.1	1	173	1827
AC068533.7	1	291	64472
AC069368.3	5	226	89036
AC079135.1	1	125	0
AC087645.1	3	336	10278
AC103809.2	1	134	1365
AC104534.3	3	319	22707
AC110615.1	14	93	6643
AC114494.1	3	140	422
AC135048.1	1	241	725
ACAA1	7	424	34113
ACAA2	3	397	30461
ACACA	9	2383	324986
ACACB	27	2458	151631
ACAD10	13	1090	71046
ACAD11	7	780	102585
ACAD8	8	415	12360
ACAD9	10	621	36471
ACADL	17	430	37552
ACADM	12	454	63224
ACADS	4	412	14273
ACADSB	93	432	49332
ACADVL	7	678	8148
ACAP1	5	740	14949
ACAP2	3	778	168342
ACAP3	19	834	17233
